priority,key,title,group,slot,category,target_path,current_status,current_active_src,intended_usage,candidate_source,recommended_format,notes
P1,heroPrimary,호텔형 침대 대표컷,selected,hero,,/images/vine/hero/hero-primary-bed.jpg,READY,/images/vine/hero/hero-primary-bed.jpg,메인 히어로 대표컷,인스타그램 침대 대표컷 후보: https://www.instagram.com/p/C62940502/,jpg 또는 webp,이미 실자산 연결됨
P3,heroSecondary,거실 소파 대표컷,selected,hero,,/images/vine/hero/hero-secondary-sofa.jpg,READY,/images/vine/hero/hero-secondary-sofa.jpg,문의 페이지 보조 이미지 / 보조 히어로,인스타그램 소파 대표컷 후보: https://www.instagram.com/p/C656623823/,jpg 또는 webp,이미 실자산 연결됨
P1,storeView,매장 내부 전경,selected,store,,/images/vine/store/store-interior-main.jpg,READY,/images/vine/store/store-interior-main.jpg,메인·브랜드·오시는 길 대표 매장컷,기존 홈페이지 img4 또는 인스타 매장 전경 후보: https://www.instagram.com/p/C662940502/,jpg 또는 webp,이미 실자산 연결됨
P1,logoPrimary,바인퍼니처 로고,selected,brand,,/images/vine/brand/logo-primary.png,READY,/images/vine/brand/logo-primary.png,전 페이지 헤더/푸터,기존 홈페이지 theme/TYPE08/img/logo.png,png (투명 배경 권장),이미 실자산 연결됨
P2,galleryBed01,호텔형 침대 쇼룸컷,gallery,gallery,침대,/images/vine/gallery/gallery-bed-01.jpg,READY,/images/vine/gallery/gallery-bed-01.jpg,메인·갤러리 대표 침대컷,기존 홈페이지 img1.png,jpg 또는 webp,이미 실자산 연결됨
P2,gallerySofa01,프리미엄 소파 쇼룸컷,gallery,gallery,소파세트,/images/vine/gallery/gallery-sofa-01.jpg,READY,/images/vine/gallery/gallery-sofa-01.jpg,메인·갤러리 대표 소파컷,기존 홈페이지 img2.png,jpg 또는 webp,이미 실자산 연결됨
P2,galleryTable01,원목 식탁 연출컷,gallery,gallery,원목 식탁,/images/vine/gallery/gallery-table-01.jpg,READY,/images/vine/gallery/gallery-table-01.jpg,메인·갤러리 대표 식탁컷,기존 홈페이지 img3.png,jpg 또는 webp,이미 실자산 연결됨
P3,galleryStore01,매장 분위기 컷,gallery,gallery,매장 분위기,/images/vine/gallery/gallery-store-01.jpg,READY,/images/vine/gallery/gallery-store-01.jpg,갤러리 매장 분위기컷,기존 홈페이지 img4.png,jpg 또는 webp,이미 실자산 연결됨
P3,galleryStorage01,쇼룸 전시 구성컷,gallery,gallery,쇼룸 전시,/images/vine/gallery/gallery-storage-01.jpg,READY,/images/vine/gallery/gallery-storage-01.jpg,갤러리 수납가구컷,기존 홈페이지 img5.png,jpg 또는 webp,이미 실자산 연결됨
P3,galleryInstagramBed01,침실 스타일링 컷,gallery,gallery,호텔형 침대,/images/vine/gallery/gallery-instagram-bed-01.jpg,READY,/images/vine/gallery/gallery-instagram-bed-01.jpg,갤러리 침실 스타일링컷,인스타그램 침대 대표컷 재활용 가능,jpg 또는 webp,이미 실자산 연결됨
P3,galleryInstagramSofa01,거실 스타일링 컷,gallery,gallery,거실 연출,/images/vine/gallery/gallery-instagram-sofa-01.jpg,READY,/images/vine/gallery/gallery-instagram-sofa-01.jpg,갤러리 거실 스타일링컷,인스타그램 소파 대표컷 재활용 가능,jpg 또는 webp,이미 실자산 연결됨
P3,galleryStoreInterior01,매장 전경 대표컷,gallery,gallery,매장 전경,/images/vine/gallery/gallery-store-interior-01.jpg,READY,/images/vine/gallery/gallery-store-interior-01.jpg,갤러리 매장 전경컷,매장 전경 대표컷 재활용 가능,jpg 또는 webp,이미 실자산 연결됨
